Coin,Price,1h_Change,24h_Change,7d_Change,24h_Volume,Market_Capital
Bitcoin,"$40,828.68",-0.0%,-2.6%,7.9%,"$17,585,307,280","$775,312,600,043"
Ethereum,"$2,847.18",0.1%,-2.8%,13.1%,"$11,568,037,814","$341,916,630,629"
Tether,$1.00,-0.1%,0.1%,0.0%,"$42,274,361,527","$80,862,185,460"
BNB,$389.15,0.1%,-1.9%,7.4%,"$1,168,805,058","$65,373,374,391"
USD Coin,$0.999571,-0.0%,0.0%,-0.2%,"$2,420,525,533","$52,943,693,260"
XRP,$0.800553,0.5%,-1.7%,5.1%,"$2,888,974,205","$38,477,816,860"
Terra,$94.04,0.5%,2.9%,8.1%,"$1,693,001,518","$34,319,951,794"
Solana,$87.78,0.1%,-3.4%,11.1%,"$935,286,851","$28,115,488,697"
Cardano,$0.876012,0.5%,-2.4%,10.6%,"$742,084,506","$28,067,509,291"
Avalanche,$85.01,0.5%,-3.6%,24.8%,"$1,070,800,869","$22,732,190,098"
Polkadot,$18.63,0.1%,-3.1%,8.1%,"$513,533,585","$20,388,560,743"
Binance USD,$0.998996,-0.2%,0.0%,-0.2%,"$3,429,690,570","$17,787,886,820"
Dogecoin,$0.119586,0.5%,-2.3%,7.0%,"$376,012,468","$15,860,952,740"
TerraUSD,$1.00,-0.2%,0.2%,-0.2%,"$449,991,688","$15,461,634,748"
Shiba Inu,$0.000022630281,0.4%,-4.7%,5.0%,"$748,434,944","$12,429,291,633"
Wrapped Bitcoin,"$40,862.01",0.1%,-2.5%,7.8%,"$176,549,574","$11,150,090,730"
Cronos,$0.402909,0.2%,-2.5%,6.8%,"$53,200,190","$10,168,632,761"
Polygon,$1.46,0.3%,-3.5%,6.9%,"$427,548,426","$10,016,401,198"
Dai,$1.00,0.0%,0.2%,-0.1%,"$145,084,919","$9,535,423,100"
Cosmos Hub,$27.94,-0.1%,-1.6%,6.1%,"$384,770,168","$8,139,690,348"
Litecoin,$114.32,0.2%,-1.7%,12.2%,"$658,509,224","$7,989,982,317"
