Coin,Price,1h_Change,24h_Change,7d_Change,24h_Volume,Market_Capital
Bitcoin,"$40,255.01",-0.6%,3.7%,-1.4%,"$28,142,130,688","$767,612,689,926"
Ethereum,"$2,987.24",-0.6%,4.5%,-2.4%,"$18,258,074,091","$360,124,937,098"
Tether,$1.00,0.1%,-0.0%,-0.0%,"$58,501,096,209","$83,117,258,482"
BNB,$398.55,-0.5%,1.4%,-4.4%,"$1,530,170,375","$67,001,978,696"
USD Coin,$0.998892,0.1%,-0.1%,-0.0%,"$4,994,193,332","$49,970,404,164"
Solana,$100.29,-0.3%,3.8%,-1.9%,"$1,187,167,619","$33,478,205,529"
Terra,$95.72,-0.2%,7.7%,5.0%,"$2,585,765,748","$32,970,286,125"
XRP,$0.674847,-0.6%,1.4%,-12.2%,"$2,915,493,615","$32,465,217,289"
Cardano,$0.877704,-0.9%,2.6%,-6.4%,"$779,202,687","$28,179,698,441"
Dogecoin,$0.155881,-2.8%,11.5%,11.2%,"$5,689,872,472","$20,679,811,337"
Polkadot,$17.78,-0.4%,1.5%,-2.2%,"$512,593,333","$19,621,801,805"
Avalanche,$70.93,-0.7%,1.9%,-8.8%,"$496,261,765","$19,063,963,691"
TerraUSD,$1.00,-0.0%,-0.2%,-0.3%,"$900,992,605","$18,327,952,134"
Binance USD,$0.998143,0.0%,-0.0%,-0.1%,"$4,326,824,009","$17,643,285,573"
Shiba Inu,$0.000023891448,-1.2%,1.0%,-5.4%,"$1,020,402,691","$13,080,947,472"
Wrapped Bitcoin,"$40,278.37",-0.4%,3.7%,-1.4%,"$274,115,947","$11,309,508,821"
Lido Staked Ether,"$2,980.18",-0.7%,4.3%,-2.6%,"$14,511,974","$10,681,034,411"
Cronos,$0.397335,-0.4%,1.7%,-3.5%,"$57,014,830","$10,038,609,735"
NEAR Protocol,$14.51,-1.3%,4.5%,-10.7%,"$932,932,794","$9,843,066,032"
Polygon,$1.31,-0.8%,1.2%,-7.7%,"$454,010,666","$9,036,205,057"
Dai,$0.999686,-0.1%,-0.1%,-0.1%,"$283,458,197","$8,652,936,478"
Bonded Luna,$95.11,-0.7%,7.1%,6.2%,"$50,550,176","$8,145,505,417"
Litecoin,$103.61,-0.7%,1.8%,-6.9%,"$562,059,672","$7,270,180,924"
TRON,$0.064497366393,-0.4%,2.0%,4.8%,"$706,922,004","$6,556,312,631"
Cosmos Hub,$21.75,-0.5%,2.1%,-9.7%,"$360,125,251","$6,351,358,594"
Chainlink,$13.23,-0.7%,2.4%,-5.8%,"$366,138,000","$6,179,856,473"
Bitcoin Cash,$318.12,-0.8%,4.1%,-6.6%,"$337,767,314","$6,055,893,411"
FTX Token,$41.56,-0.6%,2.4%,-4.3%,"$80,167,563","$5,689,289,388"
LEO Token,$5.98,-0.1%,1.4%,0.5%,"$2,540,702","$5,605,131,664"
OKB,$20.06,-0.4%,2.3%,0.9%,"$76,449,305","$5,214,555,024"
ApeCoin,$17.86,-0.4%,3.1%,50.4%,"$2,351,327,264","$5,079,296,298"
Algorand,$0.712881,-0.7%,6.2%,-3.5%,"$151,589,867","$4,777,573,611"
Monero,$261.67,0.5%,9.2%,-1.2%,"$248,096,287","$4,744,613,044"
Stellar,$0.189526,-0.2%,3.5%,-7.7%,"$228,527,580","$4,686,650,242"
Ethereum Classic,$33.00,-1.0%,2.3%,-10.7%,"$425,561,081","$4,427,515,715"
Uniswap,$8.60,-1.0%,1.5%,-8.6%,"$132,588,556","$3,923,310,700"
VeChain,$0.055472950288,-1.2%,3.8%,-6.8%,"$231,776,697","$3,704,218,166"
Hedera,$0.179293,-0.5%,2.5%,-8.1%,"$38,506,323","$3,616,938,131"
Internet Computer,$15.93,-1.0%,2.7%,-6.3%,"$139,834,520","$3,585,181,466"
Filecoin,$18.38,-0.8%,1.6%,-6.4%,"$235,822,344","$3,550,900,672"
Elrond,$157.68,-0.6%,6.0%,1.9%,"$96,713,275","$3,501,102,355"
Axie Infinity,$42.45,-0.7%,2.6%,-8.3%,"$286,884,475","$3,280,537,099"
The Sandbox,$2.66,-0.8%,1.6%,-3.3%,"$291,516,044","$3,080,471,486"
Theta Network,$3.03,-0.8%,5.6%,-0.3%,"$156,522,392","$3,024,797,150"
cETH,$59.84,0.0%,5.0%,-2.0%,$0.000000000000,"$2,931,887,771"
Decentraland,$1.92,-0.6%,1.2%,-8.2%,"$226,659,062","$2,903,228,153"
Magic Internet Money,$0.996422,-0.1%,-0.4%,-0.2%,"$13,887,102","$2,806,800,648"
The Graph,$0.392656,-0.0%,14.7%,8.4%,"$268,617,904","$2,713,166,338"
Frax,$0.998904,-0.1%,-0.1%,-0.2%,"$36,905,000","$2,693,853,477"
Fantom,$1.04,-0.6%,2.7%,-8.6%,"$372,408,682","$2,644,375,373"
Tezos,$2.89,-0.8%,1.1%,-9.0%,"$65,727,199","$2,558,601,208"
Klaytn,$0.902544,-0.1%,3.0%,-7.5%,"$58,296,419","$2,511,537,144"
THORChain,$8.14,-1.2%,3.5%,-0.8%,"$229,540,992","$2,448,954,871"
Aave,$175.63,-0.6%,8.8%,4.0%,"$264,413,927","$2,396,850,949"
EOS,$2.38,-0.9%,3.0%,-2.9%,"$445,656,795","$2,354,322,520"
